stars,text,publishedAtDate
1,"Pengalaman pertama yang ancurr.
 Makanan lama, rasanya standar, ayamnya ga panas, nasi jg ga panas, dan ultimate nya ada kecoa di meja. ZONK.
 
 No way I'm going to eat here or any wee nam kee!!",2025-11-29T06:19:19.552Z
5,,
5,,
4,,
5,,
5,,
5,,
1,"Segi Pelayanan Kurang
 Saya Dateng Dulu'an Tapi Malah Yang D Belakang Saya d Layanin dulu.n sampai berdiri d dpan kasir GK ada yg layanin.
 Saya Harus Menunggu.
 Tolong Jangan Liat Org Dari Pakaian, Kulit Ataw Kasta donk.
 Di Sini Jaga Kita Bukan Mau Minta makan gratis Tapi Sama"" beli dan Bayar.
 Kalo Mau Kasih Bintang jg males 1 bintang jg",2025-11-12T05:13:55.469Z
1,"Tadi habis reunian sama temen, terus jadi inget 2022 saat kita diundang liputan media gathering BRI terus dr humas dan direksi saranin kita ngopi sambil ngetik berita di sini. Tapi yang terjadi apa? Kita dijudesin dr awal masuk, kita nanya2 menu favorit no respon, terus kita cm pesen kopi aja ada pelayan yg dtg 2x tanya ini aja pesenannya? Dan emang kenyataannya kita sekenyang itu krn habis makan di acara BRI. Kita mau pesen camilan tp krn pas ditanya best sellernya apa mereka no respon yaudah kita minum aja. Saat itu jam 2 kita dtg dan jam 4 kita disamperin pelayan dan blg mereka mau tutup jadi kita disuruh pergi inget banget dibilang ""kita sebentar lagi tutup jadi segera payment ya mbak,"" langsung kita tatap2an padahal mereka tau laptop sm beberapa alat liputan kita mentereng krn masih gelut sm kerjaan. But its oke. Jadi pengalaman lucu kalau reunian sm temen wartawan. Gak peduli seenak apa masakan kalian manner is number 1 right? Btw sengaja review di sini krn diig commentnya gak bs terus. Soalnya temenku sampe trauma ke cafe cm pesen kopi aja grgr ini. Kalaupun awalnya cm pesen kopi aja gak nutup akan tambah menu, dan itu kita tanya baik2 camilan best sellernya apa tapi no respon dan jutek apa gak bikin kita males. Agak telat reviewnya cm berharap sekarang udh lebih baik ya.",2025-06-09T16:23:27.498Z
1,,2021-05-31T08:04:33.414Z
1,Gak lagi lagi dah makan disini istri saya lagi ngidam telur puyuh 2 malah ngatur ngatur jadi 4 alesan biar satu porsi lah padahal istri saya ngidam seharusnya dilayanin dengan baik coba dia kayak gitu pasti sama kayak istri saya rasanya,2025-05-15T10:19:26.653Z
1,"Baru seumur hidup gw baru kelar bgt mkn, nasi pun masih ada dimulut langsung disuruh bayar dong...asli pelayanannya buruk bgt makannya jg B aja...kapok dah makan dimari enggak2 lgi",2025-03-06T05:12:21.769Z
5,,
1,Pelayanan nya benar benar buruk. Gak sopan sama pelanggan,2025-11-28T01:29:48.231Z
1,"لقيت صرصور في الاكل و اتوقع واضح كيف الوضع يعني
 لو فيه احد داعي عليك روح هالمكان",2025-01-17T06:58:01.352Z
1,مطعم لا ينصح به لا طعم ولا جلسه ولا نظافة,2024-09-27T11:34:40.320Z
5,,
1,,2024-06-22T16:26:22.004Z
1,مطعم سئ جداً وفيه كمية وصاخه وتعبت بعد الوجبه كثيررر .. انصح بعدم الاكل فيه,2024-06-22T15:32:48.613Z
1,حسيت ان فيه شيء غريب في هذا المطعم وبعد السؤال افادوا ان صاحب المطعم السعودي باع المطعم لشخص اندونيسي المهم السعر يعتبر جيد نوعاً ما بالمقارنة بالمطاعم الاخرى لكن انصح بعدم طلب اللحم الا بعد التاكد من الجودة والمصدر واذا جاي من مكان بعيد وبتخسر حق المشوار لاجل هذا المطعم فافضل تروح لاقرب مطعم لك افضل بكثير,2024-02-16T11:34:01.095Z
1,"Menemukan rambut kemaluan pada steak pertama saya, mereka menggantinya dengan steak kedua dengan kualitas lebih rendah dan menemukan rambut lain. Mereka masih ingin menagih biaya makanan kepada saya. mengerikan",2023-09-19T04:50:43.763Z
1,Food not fresh gave me food poisoning. Do not eat here,2022-12-08T23:28:16.477Z
5,,
1,"Mknan nya lumayan, jutek biasa aj",2025-09-15T01:36:03.833Z
1,"Makanan oke, pelayan jutek, harga mahal porsi lauk sangat sedikit, saya sering makan dibanyak warteg, baru nemu yang seperti ini",2024-07-23T09:15:28.523Z
1,Pelayanan ya kurang bagus,2024-06-02T17:55:26.989Z
1,,2025-07-17T05:22:39.918Z
5,,
1,,2025-07-17T05:22:19.457Z
5,,
1,,2025-07-17T05:21:58.637Z
5,,
5,,
5,,
1,Uda tutup ini,2025-11-29T00:24:07.608Z
1,,2025-06-24T16:39:26.050Z
5,,
5,,
5,,
1,Tidak bagus untuk pesanan tekeway.apalagi Lo ewat online.jangan lama menunggu nya.waktu habis terbuang.yg makan di tempat selalu di dahului.,2025-10-23T05:55:57.319Z
1,Pelayanan lama bener sangat lemot tidak worth it makanan nya juga kaga enak,2025-06-18T04:46:30.112Z
1,"Gue gojek. Tolong dong dipercepat proses nya,udah gada uang parkir khusus ojol,jadi Nye lama. Payah. Masa kalah Ama resto yang kecil cuman ada uang parkir khusus ojol",2025-05-13T09:53:07.088Z
3,,
1,Pelayannya lelet....jgn sama kan take way sama di tempat dahulukan driver ojol,2025-04-25T05:43:13.083Z
1,Pelayanannya mengecewakan,2025-04-11T07:02:09.506Z
1,"promo yakiniku like yg 29rb gak bs pdhl sy dtg sebelum jam 12, gmn sih ksh promo tp gak niat. trs karyawannya juga gak bs menjelaskan dg baik. totally gak puas bgt sama pelayanannya!",2025-11-29T05:04:23.523Z
4,,
1,"Dateng lebih dulu, dibanding orang difoto ini malah orderan dia yg dtg duluan. Kedua di dapur atau di meja pemesana sering ada barang jatuh.",2025-11-27T05:43:33.552Z
1,,2022-04-13T06:26:20.847Z
5,,
5,,
1,"Mixed feeling sih disini. Dari awal saya di host depan saya bilang meeting beda orang dengan 2 table berbeda a/n yang berbeda. Di meja saya a/n Dio kelebihan 1 pax, dan di meja temen saya yang meeting jg a/n Imeng itu awal book 4 orang tnyta overload di 8 orang. tiba tiba meja di merger semua dengan alasan lebih dr 3 table. dan kena charge tiba tiba tanpa diskusi di 250++ per pax. ini bukan masalah bayarnya, tapi ini masalah kordinasi server dan host yang tiba tiba gak ada diskusi di awal langsung ngomong dan tembak customer. Saya gak merasa saya overbook pax karena saya meeting cmn ber 5. Tapi krn dilihat kenal table sebelah tb tb di merge semua sama mereka. ini menurut saya aneh. Gak gini cara upsales. saya tetap membiarkan dengan 250++ itu tapi saya komplen mengenai attitudenya aja. food and athmosphere is great but your staff attitude is so bad.",2025-11-27T10:23:42.147Z
5,,
1,Took 1 hour to eat after ordering. No employee came and explained with the reasonnof delay. Needed to wait still for the food. One of the worst experience in Indonesia restaurant.,2024-11-27T07:23:23.433Z
1,"JUMAT sebelum dateng sudah chat Via Whatsapp, konfirmasii mao ada dateng 5 orang, apa musti book atau enggak. Dibalas dateng aja gak usah BOOK. Kami mao reuni kecil2an datang 5 mobil sampai lokasi ZONK !!! Dibilang close buat umum ada acara wedding .... jauh2 dateng 5 orang 5 mobil, udah chat semalam cuma di jawab lagi ada EVENT , close untuk umum !!!! Bener2 gak proffesional banget !!!! Sangat amat kecewa",2025-10-20T12:51:22.212Z
1,OPERATOR SANGAT SUSAH DI HUBUNGI..SEKALI DI ANGKAT NYEGIR2,2025-10-10T06:56:10.262Z
5,,
